year,line,station,longitude,latitude,standard.haul.factor,volume.water.strained,station.depth,temp_surf,sal_surf,oxygen_surf,steta_surf.x,chla_surf,temp_100m,sal_100m,oxygen_100m,steta_surf.y,chla_100m,hard_outcrop.pavement,mixed,soft_sediment,cca,pair_no,auriculatus,aurora,caurinus,chlorostictus,constellatus,crameri,crocotulus,dalli,did.not.work,diploproa,elongatus,ensifer,entomelas,flavidus,gilli,goodei,helvomaculatus,hopkinsi,jordani,levis,macdonaldi,melanostomus,miniatus,moseri,mystinus,ovalis,paucispinis,phillipsi,rastrelliger,rosaceus,rosenblatti,ruberrimus,rubrivinctus,rufinanus,rufus,saxicola,semicinctus,serranoides,simulator,wilsoni,prop_dnw
1998,93.3,26.7,-117.305,32.955,4.97,425.8,197,17.92,34.04833333,5.3,24.57,0.745,17.605,34.00685714,5.095384615,24.61461538,0.548461538,0.782608696,0.217391304,0,out_cca,pair5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,0
1998,93.3,28,-117.395,32.91333333,4.88,431.8,638,18.06,34.06866667,5.375,24.555,1.165,17.40166667,33.98783333,4.950909091,24.65090909,0.586363636,0,0.85,0.15,out_cca,not_paired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,90,60,-119.96,32.41833333,4.71,457.2,840,16.06,33.50033333,5.665,24.58,0.205,15.754,33.49993333,5.595,24.65357143,0.253571429,0.868686869,0.131313131,0,out_cca,not_paired,0,0,0,0,0,0,0,0,37.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1998,90,53,-119.4816667,32.65166667,4.74,441.8,1328,16.17666667,33.51466667,5.64,24.57,0.225,16.05352941,33.50829412,5.625,24.594375,0.23,0.408163265,0.591836735,0,in_cca,pair4,0,0,0,0,0,0,0,0,28.44,0,0,9.48,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0.6
1998,90,45,-118.935,32.91833333,4.72,449.4,1713,16.57,33.65633333,5.655,24.59,0.255,14.87,33.71073333,4.535,25.02928571,0.190714286,0,1,0,in_cca,pair3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,90,37,-118.3866667,33.185,4.77,446.9,1185,16.57666667,33.69933333,5.63,24.615,0.215,15.95533333,33.64646667,5.435,24.72142857,0.278571429,0,1,0,out_cca,not_paired,0,0,0,0,0,0,0,0,0,33.39,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,90,35,-118.2483333,33.24833333,4.97,434.5,365,17.21333333,33.873,5.52,24.6,0.275,16.32142857,33.76942857,5.182307692,24.73461538,0.222307692,0.711538462,0.288461538,0,out_cca,pair6,0,0,0,0,0,0,0,0,0,0,0,9.94,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,14.91,4.97,0,0,0,0,0
1998,90,30,-117.905,33.41833333,4.83,432.8,610,17.6075,33.9905,5.41,24.6,0.626666667,16.866,33.8634,5.201428571,24.67642857,0.429285714,0.313131313,0.353535354,0.333333333,out_cca,not_paired,0,4.83,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.64,0,0,0,0,0,0
1998,90,28,-117.7683333,33.485,4.61,102.4,58,17.545,33.942,5.443333333,24.57,1.533333333,17.42538462,33.93746154,5.289166667,24.6025,0.845,0.164556962,0.835443038,0,out_cca,not_paired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,86.7,33,-118.49,33.88833333,4.47,106.9,53,16.6675,33.6785,5.236666667,24.58,0.956666667,16.613,33.6964,5.161111111,24.61,0.834444444,0.153061224,0,0.846938776,out_cca,not_paired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
